x-axis,1
second,Volt
-32.34375E+00,
-32.30469E+00,
-32.26563E+00,
-32.22656E+00,
-32.18750E+00,
-32.14844E+00,
-32.10938E+00,
-32.07031E+00,
-32.03125E+00,
-31.99219E+00,
-31.95313E+00,
-31.91406E+00,
-31.87500E+00,
-31.83594E+00,
-31.79688E+00,
-31.75781E+00,
-31.71875E+00,
-31.67969E+00,
-31.64063E+00,
-31.60156E+00,
-31.56250E+00,
-31.52344E+00,
-31.48438E+00,
-31.44531E+00,
-31.40625E+00,
-31.36719E+00,
-31.32813E+00,
-31.28906E+00,
-31.25000E+00,
-31.21094E+00,
-31.17188E+00,
-31.13281E+00,
-31.09375E+00,
-31.05469E+00,
-31.01563E+00,
-30.97656E+00,
-30.93750E+00,
-30.89844E+00,
-30.85938E+00,
-30.82031E+00,
-30.78125E+00,
-30.74219E+00,
-30.70313E+00,
-30.66406E+00,
-30.62500E+00,
-30.58594E+00,
-30.54688E+00,
-30.50781E+00,
-30.46875E+00,
-30.42969E+00,
-30.39063E+00,
-30.35156E+00,
-30.31250E+00,
-30.27344E+00,
-30.23438E+00,
-30.19531E+00,
-30.15625E+00,
-30.11719E+00,
-30.07813E+00,
-30.03906E+00,
-30.00000E+00,
-29.96094E+00,
-29.92188E+00,
-29.88281E+00,
-29.84375E+00,
-29.80469E+00,
-29.76563E+00,
-29.72656E+00,
-29.68750E+00,
-29.64844E+00,
-29.60938E+00,
-29.57031E+00,
-29.53125E+00,
-29.49219E+00,
-29.45313E+00,
-29.41406E+00,
-29.37500E+00,
-29.33594E+00,
-29.29688E+00,
-29.25781E+00,
-29.21875E+00,
-29.17969E+00,
-29.14063E+00,
-29.10156E+00,
-29.06250E+00,
-29.02344E+00,
-28.98438E+00,
-28.94531E+00,
-28.90625E+00,
-28.86719E+00,
-28.82813E+00,
-28.78906E+00,
-28.75000E+00,
-28.71094E+00,
-28.67188E+00,
-28.63281E+00,
-28.59375E+00,
-28.55469E+00,
-28.51563E+00,
-28.47656E+00,
-28.43750E+00,
-28.39844E+00,
-28.35938E+00,
-28.32031E+00,
-28.28125E+00,
-28.24219E+00,
-28.20313E+00,
-28.16406E+00,
-28.12500E+00,
-28.08594E+00,
-28.04688E+00,
-28.00781E+00,
-27.96875E+00,
-27.92969E+00,
-27.89063E+00,
-27.85156E+00,
-27.81250E+00,
-27.77344E+00,
-27.73438E+00,
-27.69531E+00,
-27.65625E+00,
-27.61719E+00,
-27.57813E+00,
-27.53906E+00,
-27.50000E+00,
-27.46094E+00,
-27.42188E+00,
-27.38281E+00,
-27.34375E+00,
-27.30469E+00,
-27.26563E+00,
-27.22656E+00,
-27.18750E+00,
-27.14844E+00,
-27.10938E+00,
-27.07031E+00,
-27.03125E+00,
-26.99219E+00,
-26.95313E+00,
-26.91406E+00,
-26.87500E+00,
-26.83594E+00,
-26.79688E+00,
-26.75781E+00,
-26.71875E+00,
-26.67969E+00,
-26.64063E+00,
-26.60156E+00,
-26.56250E+00,
-26.52344E+00,
-26.48438E+00,
-26.44531E+00,
-26.40625E+00,
-26.36719E+00,
-26.32813E+00,
-26.28906E+00,
-26.25000E+00,
-26.21094E+00,
-26.17188E+00,
-26.13281E+00,
-26.09375E+00,
-26.05469E+00,
-26.01563E+00,
-25.97656E+00,
-25.93750E+00,
-25.89844E+00,
-25.85938E+00,
-25.82031E+00,
-25.78125E+00,
-25.74219E+00,
-25.70313E+00,
-25.66406E+00,
-25.62500E+00,
-25.58594E+00,
-25.54688E+00,
-25.50781E+00,
-25.46875E+00,
-25.42969E+00,
-25.39063E+00,
-25.35156E+00,
-25.31250E+00,
-25.27344E+00,
-25.23438E+00,
-25.19531E+00,+589.51E-03
-25.15625E+00,+590.77E-03
-25.11719E+00,+590.77E-03
-25.07813E+00,+590.77E-03
-25.03906E+00,+590.77E-03
-25.00000E+00,+590.77E-03
-24.96094E+00,+590.77E-03
-24.92188E+00,+590.77E-03
-24.88281E+00,+589.51E-03
-24.84375E+00,+589.51E-03
-24.80469E+00,+589.51E-03
-24.76563E+00,+589.51E-03
-24.72656E+00,+590.77E-03
-24.68750E+00,+590.77E-03
-24.64844E+00,+590.77E-03
-24.60938E+00,+590.77E-03
-24.57031E+00,+589.51E-03
-24.53125E+00,+589.51E-03
-24.49219E+00,+590.77E-03
-24.45313E+00,+589.51E-03
-24.41406E+00,+589.51E-03
-24.37500E+00,+590.77E-03
-24.33594E+00,+589.51E-03
-24.29688E+00,+589.51E-03
-24.25781E+00,+590.77E-03
-24.21875E+00,+590.77E-03
-24.17969E+00,+589.51E-03
-24.14063E+00,+590.77E-03
-24.10156E+00,+589.51E-03
-24.06250E+00,+589.51E-03
-24.02344E+00,+590.77E-03
-23.98438E+00,+589.51E-03
-23.94531E+00,+589.51E-03
-23.90625E+00,+594.54E-03
-23.86719E+00,+598.31E-03
-23.82813E+00,+598.31E-03
-23.78906E+00,+598.31E-03
-23.75000E+00,+598.31E-03
-23.71094E+00,+598.31E-03
-23.67188E+00,+598.31E-03
-23.63281E+00,+598.31E-03
-23.59375E+00,+598.31E-03
-23.55469E+00,+604.59E-03
-23.51563E+00,+618.41E-03
-23.47656E+00,+618.41E-03
-23.43750E+00,+618.41E-03
-23.39844E+00,+618.41E-03
-23.35938E+00,+618.41E-03
-23.32031E+00,+618.41E-03
-23.28125E+00,+618.41E-03
-23.24219E+00,+618.41E-03
-23.20313E+00,+618.41E-03
-23.16406E+00,+618.41E-03
-23.12500E+00,+618.41E-03
-23.08594E+00,+618.41E-03
-23.04688E+00,+604.59E-03
-23.00781E+00,+612.12E-03
-22.96875E+00,+605.84E-03
-22.92969E+00,+564.39E-03
-22.89063E+00,+561.87E-03
-22.85156E+00,+607.10E-03
-22.81250E+00,+688.76E-03
-22.77344E+00,+831.97E-03
-22.73438E+00,+1.05434E+00
-22.69531E+00,+1.36841E+00
-22.65625E+00,+1.73147E+00
-22.61719E+00,+2.00534E+00
-22.57813E+00,+2.10710E+00
-22.53906E+00,+2.20760E+00
-22.50000E+00,+2.29429E+00
-22.46094E+00,+2.37971E+00
-22.42188E+00,+2.43122E+00
-22.38281E+00,+2.51665E+00
-22.34375E+00,+2.53800E+00
-22.30469E+00,+2.61464E+00
-22.26563E+00,+2.67996E+00
-22.22656E+00,+2.73147E+00
-22.18750E+00,+2.73147E+00
-22.14844E+00,+2.73775E+00
-22.10938E+00,+2.77544E+00
-22.07031E+00,+2.75408E+00
-22.03125E+00,+2.67117E+00
-21.99219E+00,+2.64981E+00
-21.95313E+00,+2.61338E+00
-21.91406E+00,+2.50911E+00
-21.87500E+00,+2.40986E+00
-21.83594E+00,+2.26037E+00
-21.79688E+00,+2.14856E+00
-21.75781E+00,+2.06062E+00
-21.71875E+00,+1.90735E+00
-21.67969E+00,+1.89604E+00
-21.64063E+00,+1.90986E+00
-21.60156E+00,+1.89604E+00
